barcode,name,image
6224008857518,5G Vanilla,https://images.openfoodfacts.org/images/products/622/400/885/7518/front_en.3.400.jpg
6222035228264,Big Chips Sour Cream & Onion,https://images.openfoodfacts.org/images/products/622/203/522/8264/front_en.3.400.jpg
5063305004802,,https://images.openfoodfacts.org/images/products/506/330/500/4802/front_ar.3.400.jpg
6221031002137,شيبسي,
6222035228257,Excellence,
5449000005540,شويبس اناناس950م,https://images.openfoodfacts.org/images/products/544/900/000/5540/front_en.5.400.jpg
6223000350010,Full Fat Milk,https://images.openfoodfacts.org/images/products/622/300/035/0010/front_en.6.400.jpg
6224010623736,Cream Cheese With Garlic And Herbs,
6294003539153,,https://images.openfoodfacts.org/images/products/629/400/353/9153/front_en.6.400.jpg
6224001184451,Chicken Strips,
8690504550686,Mixed vegetables,https://images.openfoodfacts.org/images/products/869/050/455/0686/front_fr.3.400.jpg
6223000057704,Halawa,https://images.openfoodfacts.org/images/products/622/300/005/7704/front_fr.3.400.jpg
6223001085416,كيك شيف cake chef,
6223000228548,Waffle,https://images.openfoodfacts.org/images/products/622/300/022/8548/front_en.9.400.jpg
6223001030089,Cook’s Strawberry Jelly,https://images.openfoodfacts.org/images/products/622/300/103/0089/front_fr.3.400.jpg
6223000508619,Tiger,https://images.openfoodfacts.org/images/products/622/300/050/8619/front_fr.3.400.jpg
6224008245261,peanut butter creamy,https://images.openfoodfacts.org/images/products/622/400/824/5261/front_en.3.400.jpg
6224010090019,Tortella,
6223007290050,Bredawy brown bread,
5449000289216,Schweppes,https://images.openfoodfacts.org/images/products/544/900/028/9216/front_fr.3.400.jpg
6224010103047,Iso whey protien bar,https://images.openfoodfacts.org/images/products/622/401/010/3047/front_en.3.400.jpg
6221073011739,Corona lite chocolate king size,https://images.openfoodfacts.org/images/products/622/107/301/1739/front_fr.3.400.jpg
6224009042333,pick ronesca,https://images.openfoodfacts.org/images/products/622/400/904/2333/front_fr.3.400.jpg
6224008267034,Suntop mango,https://images.openfoodfacts.org/images/products/622/400/826/7034/front_en.4.400.jpg
6224000992910,Couverture Chocolate,https://images.openfoodfacts.org/images/products/622/400/099/2910/front_fr.3.400.jpg
